"","council","reference","date_received","date_validated","address","description","applicant","agent","status","decision","decision_date","category","search_term","url","decision_clean","address_clean","postcode","pc_lat","pc_lon","g_lat","g_lon","g_status","lat","lon","geometry"
"1","Oxford City","21/01405/FUL",NA,NA,"1 And 3 Jack Straw's Lane And 302 304 And 312 Marston Road Oxford Oxfordshire OX3 0DL","demolition of existing carpenters yard buildings, 302, 304 and 312 marston road and 1 and 3 jack straw's lane. erection of residential care home (use class c2) with associated landscaping and car parking. (amended plans)","","","decided","application withdrawn","Thu 20 Jul 2023","care home","care home","https://public.oxford.gov.uk/online-applications/applicationDetails.do?keyVal=QTCE9VMFGCZ00&activeTab=summary","withdrawn","1 And 3 Jack Straw's Lane And 302 304 And 312 Marston Road Oxford Oxfordshire OX3 0DL","OX3 0DL",51.763117,-1.232813,NA,NA,NA,51.763117,-1.232813,c(-1.232813, 51.763117)
"2","Oxford City","11/01666/FUL",NA,NA,"St Andrews Residential Care Home 184 London Road And 1 Wharton Road Headington Oxford Oxfordshire OX3 9EE","extensions and internal alterations to st andrews care home and no 1 wharton road in connection with additional care home accommodation and creation of a 3 bed flat. (st andrews nursing home, 184/186 london road and 1 wharton road).","","","decided","approved","Tue 09 Aug 2011","care home","nursing home","https://public.oxford.gov.uk/online-applications/applicationDetails.do?keyVal=LN73GYMF0OJ00&activeTab=summary","approved","St Andrews Residential Care Home 184 London Road And 1 Wharton Road Headington Oxford Oxfordshire OX3 9EE","OX3 9EE",51.761371,-1.205515,NA,NA,NA,51.761371,-1.205515,c(-1.205515, 51.761371)
"3","Oxford City","10/01999/FUL",NA,NA,"St Andrews Residential Care Home 184 London Road Headington Oxford Oxfordshire OX3 9EE","erection of a single storey building to provide laundry room (st andrews nursing home, 184/186 london road)..","","","decided","approved","Fri 24 Sep 2010","care home","nursing home","https://public.oxford.gov.uk/online-applications/applicationDetails.do?keyVal=L6IZF0MF08800&activeTab=summary","approved","St Andrews Residential Care Home 184 London Road Headington Oxford Oxfordshire OX3 9EE","OX3 9EE",51.761371,-1.205515,NA,NA,NA,51.761371,-1.205515,c(-1.205515, 51.761371)
"4","Cherwell","25/01989/F",NA,NA,"38 Brinkburn Grove
Banbury
OX16 3WY","change of use from c3 (dwelling) to c2 (care home for one child) and works to create additional parking spaces on the drive","One Brother Property Ltd","Gwynfor Humphreys & Co","application permitted","delegated","28/11/2025","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/25/01989/F","approved","38 Brinkburn Grove Banbury OX16 3WY","OX16 3WY",52.06968,-1.319238,NA,NA,NA,52.06968,-1.319238,c(-1.319238, 52.06968)
"5","Cherwell","24/02058/F",NA,NA,"Land to the North of Anniversary Avenue
Graven Hill 
Bicester
OX25 2BF","full application for the proposed erection of a two storey building to form a 66 no. bedroom care home for older people with parking, access, landscaping and associated ground works.","LNT Care Developments","Mr Samuel Finlay","application permitted","committee","17/06/2025","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/24/02058/F","approved","Land to the North of Anniversary Avenue Graven Hill Bicester OX25 2BF","OX25 2BF",51.883249,-1.149046,NA,NA,NA,51.883249,-1.149046,c(-1.149046, 51.883249)
"6","Cherwell","24/00825/F",NA,NA,"Prospect House
70 Oxford Road
Banbury
OX16 9AN","change of use from a guest house (c1) to a residential care home (c2)","Rosalie Care Home","Mark Bell Architects Ltd","application permitted","delegated","28/05/2024","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/24/00825/F","approved","Prospect House 70 Oxford Road Banbury OX16 9AN","OX16 9AN",52.054167,-1.339235,NA,NA,NA,52.054167,-1.339235,c(-1.339235, 52.054167)
"7","Cherwell","24/00824/F",NA,NA,"Prospect House
70 Oxford Road
Banbury
OX16 9AN","the installation of an access ramp to the front entrance along with the removal of a window and door set to the side elevation and the addition of three new doors to the side elevation","Rosalie Care Home","Mark Bell Architects Ltd","application permitted","delegated","28/05/2024","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/24/00824/F","approved","Prospect House 70 Oxford Road Banbury OX16 9AN","OX16 9AN",52.054167,-1.339235,NA,NA,NA,52.054167,-1.339235,c(-1.339235, 52.054167)
"8","Cherwell","23/00931/F",NA,NA,"Fewcott House
Fritwell Road
Fewcott
Bicester
OX27 7NZ","addition of conservatory to new dementia wing","Fewcott Care Home","I.C. Architects","application permitted","delegated","31/05/2023","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/23/00931/F","approved","Fewcott House Fritwell Road Fewcott Bicester OX27 7NZ","OX27 7NZ",51.94775,-1.215977,NA,NA,NA,51.94775,-1.215977,c(-1.215977, 51.94775)
"9","Cherwell","22/03452/F",NA,NA,"OS Parcel 6920 East Of Oxford Road And Adjoining And South Of Canal Lane
Bodicote","erection of new 128-bed residential care home (use class c2) together with associated access, parking and landscaping","Mercian Developments Ltd","Barton Willmore now Stantec","application permitted","committee","14/12/2023","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/22/03452/F","approved","OS Parcel 6920 East Of Oxford Road And Adjoining And South Of Canal Lane Bodicote",NA,NA,NA,52.0400706,-1.3226416,"ok",52.0400706,-1.3226416,c(-1.3226416, 52.0400706)
"10","Cherwell","21/01966/F",NA,NA,"Land To Rear Of Gracewell Care Home
Gardner Way
Adderbury","the erection of 18 dwellings and access road","Malvern Homes Limited","s's Address","application permitted","committee","07/01/2025","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/21/01966/F","approved","Land To Rear Of Gracewell Care Home Gardner Way Adderbury",NA,NA,NA,52.017428,-1.315045,"ok",52.017428,-1.315045,c(-1.315045, 52.017428)
